addresss,category,createdAt,descript,indicentId,location,objectId,pdDiscrict,pdId,resolution,timestamp,updatedAt,weight
BALBOA ST / GREAT HY,LARCENY/THEFT,2015-03-09T10:39:21.857Z,GRAND THEFT FROM LOCKED AUTO,156043251,GeoPoint|37.775073326331|-122.511293798596,zInjyqs3dL,RICHMOND,15604325106244,NONE,Date|2015-02-21T12:25:00.000Z,2015-03-09T10:39:21.857Z,10
300 Block of POST ST,LARCENY/THEFT,2015-03-09T10:39:21.865Z,GRAND THEFT FROM A BUILDING,150160728,GeoPoint|37.7884486019705|-122.407612885387,qbUbCoGG7M,CENTRAL,15016072806304,NONE,Date|2015-02-21T12:17:00.000Z,2015-03-09T10:39:21.865Z,10
0 Block of MAIDEN LN,LARCENY/THEFT,2015-03-09T10:39:21.872Z,PETTY THEFT SHOPLIFTING,150160176,GeoPoint|37.7883830183627|-122.404366570224,t4BHrEf2Ko,CENTRAL,15016017606363,NONE,Date|2015-02-21T11:35:00.000Z,2015-03-09T10:39:21.872Z,10
DAVIS ST / CLAY ST,LARCENY/THEFT,2015-03-09T10:39:21.881Z,GRAND THEFT FROM UNLOCKED AUTO,156043029,GeoPoint|37.7953124364807|-122.397977877257,ZTCNOcDLVC,CENTRAL,15604302906224,NONE,Date|2015-02-21T11:30:00.000Z,2015-03-09T10:39:21.881Z,10
GEARY BL / 24TH AV,LARCENY/THEFT,2015-03-09T10:39:21.888Z,GRAND THEFT FROM LOCKED AUTO,156043110,GeoPoint|37.7801399018132|-122.483663577628,u72OAegfuS,RICHMOND,15604311006244,NONE,Date|2015-02-21T10:45:00.000Z,2015-03-09T10:39:21.888Z,10
HYDE ST / SUTTER ST,LARCENY/THEFT,2015-03-09T10:39:21.896Z,PETTY THEFT OF PROPERTY,156043621,GeoPoint|37.788178697075|-122.4168291485,TDvQh2g6G0,CENTRAL,15604362106372,NONE,Date|2015-02-21T10:00:00.000Z,2015-03-09T10:39:21.896Z,10
2500 Block of MISSION ST,LARCENY/THEFT,2015-03-09T10:39:21.904Z,GRAND THEFT BICYCLE,150160160,GeoPoint|37.7562166627216|-122.418891810986,2tFO1U9dOq,MISSION,15016016006314,NONE,Date|2015-02-21T08:23:00.000Z,2015-03-09T10:39:21.904Z,10
GEARY BL / LAGUNA ST,LARCENY/THEFT,2015-03-09T10:39:21.911Z,GRAND THEFT FROM LOCKED AUTO,156043198,GeoPoint|37.7849531241612|-122.427991151911,bJvOcOcyac,NORTHERN,15604319806244,NONE,Date|2015-02-21T08:00:00.000Z,2015-03-09T10:39:21.911Z,10
STJOSEPHS AV / ELLIS ST,VEHICLE THEFT,2015-03-09T10:39:21.919Z,STOLEN AUTOMOBILE,150161118,GeoPoint|37.7812344891521|-122.441340525823,Dg8LUjjjKe,PARK,15016111807021,NONE,Date|2015-02-21T06:45:00.000Z,2015-03-09T10:39:21.919Z,10
0 Block of WILLIAMS AV,OTHER OFFENSES,2015-03-09T10:39:21.927Z,LOST/STOLEN LICENSE PLATE,150161146,GeoPoint|37.7294128620199|-122.394070665922,mnxHjGcRBR,BAYVIEW,15016114671010,NONE,Date|2015-02-21T06:45:00.000Z,2015-03-09T10:39:21.927Z,1
BUCHANAN ST / FELL ST,VANDALISM,2015-03-09T10:39:21.935Z,"MALICIOUS MISCHIEF, VANDALISM",156042758,GeoPoint|37.7753157578409|-122.427727138394,p5HqZdlKE9,NORTHERN,15604275828150,NONE,Date|2015-02-21T05:05:00.000Z,2015-03-09T10:39:21.935Z,5
1600 Block of LASALLE AV,VEHICLE THEFT,2015-03-09T10:39:21.946Z,STOLEN MOTORCYCLE,150160994,GeoPoint|37.7368837969126|-122.389241311502,pAQ5DqbqQu,BAYVIEW,15016099407023,NONE,Date|2015-02-21T03:30:00.000Z,2015-03-09T10:39:21.946Z,10
GEARY ST / HYDE ST,VEHICLE THEFT,2015-03-09T10:39:21.953Z,STOLEN AUTOMOBILE,150160433,GeoPoint|37.7863086885804|-122.416452065595,3kMxS50avx,CENTRAL,15016043307021,NONE,Date|2015-02-21T02:00:00.000Z,2015-03-09T10:39:21.953Z,10
200 Block of INTERSTATE80 HY,VEHICLE THEFT,2015-03-09T10:39:21.961Z,STOLEN AUTOMOBILE,150159113,GeoPoint|37.8096707013239|-122.365565425353,yAOAQZRsOn,SOUTHERN,15015911307021,NONE,Date|2015-02-21T01:00:00.000Z,2015-03-09T10:39:21.961Z,10
JONES ST / BUSH ST,NON-CRIMINAL,2015-03-09T10:39:21.969Z,LOST PROPERTY,156043580,GeoPoint|37.7895283021427|-122.413731461593,hlxK3owz71,CENTRAL,15604358071000,NONE,Date|2015-02-21T00:01:00.000Z,2015-03-09T10:39:21.969Z,1
200 Block of STOCKTON ST,LARCENY/THEFT,2015-03-09T10:39:21.977Z,PETTY THEFT OF PROPERTY,156043007,GeoPoint|37.7882745285785|-122.406658711008,2hnzdoBiJy,CENTRAL,15604300706372,NONE,Date|2015-02-21T00:01:00.000Z,2015-03-09T10:39:21.977Z,10
3RD ST / EVANS AV,VEHICLE THEFT,2015-03-09T10:39:21.985Z,STOLEN AUTOMOBILE,150158836,GeoPoint|37.7427030847405|-122.387927387609,qsOPCY9LLN,BAYVIEW,15015883607021,NONE,Date|2015-02-20T23:15:00.000Z,2015-03-09T10:39:21.985Z,10
3RD ST / EVANS AV,VEHICLE THEFT,2015-03-09T10:39:21.992Z,STOLEN AND RECOVERED VEHICLE,150158836,GeoPoint|37.7427030847405|-122.387927387609,byFEfMB0X9,BAYVIEW,15015883607020,NONE,Date|2015-02-20T23:15:00.000Z,2015-03-09T10:39:21.992Z,10
700 Block of PENNSYLVANIA AV,OTHER OFFENSES,2015-03-09T10:39:22.001Z,LOST/STOLEN LICENSE PLATE,150160643,GeoPoint|37.7563570227741|-122.393071223295,C9KrfwMyhb,BAYVIEW,15016064371010,NONE,Date|2015-02-20T22:00:00.000Z,2015-03-09T10:39:22.001Z,1
100 Block of BOSWORTH ST,VEHICLE THEFT,2015-03-09T10:39:22.009Z,STOLEN AUTOMOBILE,150159715,GeoPoint|37.7335671623152|-122.42814364018,h7D9adTlv1,INGLESIDE,15015971507021,NONE,Date|2015-02-20T22:00:00.000Z,2015-03-09T10:39:22.009Z,10
JONES ST / LOMBARD ST,LARCENY/THEFT,2015-03-09T10:39:22.017Z,GRAND THEFT FROM UNLOCKED AUTO,156042968,GeoPoint|37.8024103177266|-122.416327623844,bZUfhOOiBJ,CENTRAL,15604296806224,NONE,Date|2015-02-20T21:30:00.000Z,2015-03-09T10:39:22.017Z,10
0 Block of KAREN CT,VEHICLE THEFT,2015-03-09T10:39:22.025Z,STOLEN AUTOMOBILE,150161077,GeoPoint|37.7234814213797|-122.4068026167,9o6YiR3PCf,BAYVIEW,15016107707021,NONE,Date|2015-02-20T21:00:00.000Z,2015-03-09T10:39:22.025Z,10
1900 Block of LEAVENWORTH ST,LARCENY/THEFT,2015-03-09T10:39:22.033Z,GRAND THEFT FROM LOCKED AUTO,156041738,GeoPoint|37.798730428122|-122.417199752523,iaK6Q5obSG,CENTRAL,15604173806244,NONE,Date|2015-02-20T21:00:00.000Z,2015-03-09T10:39:22.033Z,10
OCEAN AV / DORADO TR,LARCENY/THEFT,2015-03-09T10:39:22.041Z,GRAND THEFT FROM LOCKED AUTO,156041954,GeoPoint|37.724950248764|-122.461208520613,5vegCZlUjO,TARAVAL,15604195406244,NONE,Date|2015-02-20T20:15:00.000Z,2015-03-09T10:39:22.041Z,10
GEARY BL / FILLMORE ST,LARCENY/THEFT,2015-03-09T10:39:22.055Z,GRAND THEFT FROM LOCKED AUTO,156042742,GeoPoint|37.7843533426568|-122.432914603494,jWtPtQzI1p,NORTHERN,15604274206244,NONE,Date|2015-02-20T20:00:00.000Z,2015-03-09T10:39:22.055Z,10
1500 Block of VANNESS AV,LARCENY/THEFT,2015-03-09T10:39:22.063Z,GRAND THEFT FROM LOCKED AUTO,156042827,GeoPoint|37.7899200014841|-122.422062730264,RBRwDNLANS,NORTHERN,15604282706244,NONE,Date|2015-02-20T20:00:00.000Z,2015-03-09T10:39:22.063Z,10
GEARY BL / 22ND AV,LARCENY/THEFT,2015-03-09T10:39:22.071Z,GRAND THEFT FROM LOCKED AUTO,156043091,GeoPoint|37.7802227066368|-122.481516526312,XewTEZbvVA,RICHMOND,15604309106244,NONE,Date|2015-02-20T19:45:00.000Z,2015-03-09T10:39:22.071Z,10
THE EMBARCADERONORTH ST / BATTERY ST,LARCENY/THEFT,2015-03-09T10:39:22.080Z,GRAND THEFT FROM LOCKED AUTO,156041841,GeoPoint|37.8042568095058|-122.402038998271,tcU4Cmhamv,CENTRAL,15604184106244,NONE,Date|2015-02-20T19:30:00.000Z,2015-03-09T10:39:22.080Z,10
THE EMBARCADERONORTH ST / BATTERY ST,LARCENY/THEFT,2015-03-09T10:39:22.088Z,GRAND THEFT FROM LOCKED AUTO,156043574,GeoPoint|37.8042568095058|-122.402038998271,HAdDF0DGK8,CENTRAL,15604357406244,NONE,Date|2015-02-20T19:15:00.000Z,2015-03-09T10:39:22.088Z,10
800 Block of BRYANT ST,LARCENY/THEFT,2015-03-09T10:39:22.096Z,GRAND THEFT FROM LOCKED AUTO,156041681,GeoPoint|37.775420706711|-122.403404791479,K9U3VWxWCb,SOUTHERN,15604168106244,NONE,Date|2015-02-20T19:15:00.000Z,2015-03-09T10:39:22.096Z,10
700 Block of PINE ST,LARCENY/THEFT,2015-03-09T10:39:22.103Z,GRAND THEFT FROM LOCKED AUTO,156042946,GeoPoint|37.7911972507673|-122.40768078831,c7ZpB2q1Am,CENTRAL,15604294606244,NONE,Date|2015-02-20T19:10:00.000Z,2015-03-09T10:39:22.103Z,10
FRANKLIN ST / GOLDEN GATE AV,VANDALISM,2015-03-09T10:39:22.117Z,"MALICIOUS MISCHIEF, VANDALISM",156042833,GeoPoint|37.7808219708329|-122.422090267887,axcXyddMau,NORTHERN,15604283328150,NONE,Date|2015-02-20T19:00:00.000Z,2015-03-09T10:39:22.117Z,5
CABRILLO ST / 46TH AV,LARCENY/THEFT,2015-03-09T10:39:22.125Z,GRAND THEFT FROM UNLOCKED AUTO,156043126,GeoPoint|37.7734052631424|-122.506818965003,sl45Kxp1fV,RICHMOND,15604312606224,NONE,Date|2015-02-20T19:00:00.000Z,2015-03-09T10:39:22.125Z,10
1800 Block of SUTTER ST,LARCENY/THEFT,2015-03-09T10:39:22.133Z,GRAND THEFT FROM LOCKED AUTO,156042792,GeoPoint|37.7864562307955|-122.430791511808,QCkAGzDDsR,NORTHERN,15604279206244,NONE,Date|2015-02-20T19:00:00.000Z,2015-03-09T10:39:22.133Z,10
100 Block of AVILA ST,VANDALISM,2015-03-09T10:39:22.142Z,"MALICIOUS MISCHIEF, VANDALISM",156042902,GeoPoint|37.8019715280364|-122.440578594925,3XqkcJvUBY,NORTHERN,15604290228150,NONE,Date|2015-02-20T19:00:00.000Z,2015-03-09T10:39:22.142Z,5
800 Block of BRYANT ST,LARCENY/THEFT,2015-03-09T10:39:22.150Z,PETTY THEFT OF PROPERTY,156041788,GeoPoint|37.775420706711|-122.403404791479,t6jqG7u3V6,SOUTHERN,15604178806372,NONE,Date|2015-02-20T18:50:00.000Z,2015-03-09T10:39:22.150Z,10
JONES ST / CHESTNUT ST,LARCENY/THEFT,2015-03-09T10:39:22.165Z,GRAND THEFT FROM UNLOCKED AUTO,156041835,GeoPoint|37.8033467206612|-122.416514507406,PtmUiylU65,CENTRAL,15604183506224,NONE,Date|2015-02-20T18:45:00.000Z,2015-03-09T10:39:22.165Z,10
1300 Block of HAIGHT ST,LARCENY/THEFT,2015-03-09T10:39:22.173Z,GRAND THEFT FROM LOCKED AUTO,156041700,GeoPoint|37.7702619702403|-122.444502333693,ho5EfmNhMA,PARK,15604170006244,NONE,Date|2015-02-20T18:43:00.000Z,2015-03-09T10:39:22.173Z,10
BUSH ST / POLK ST,VANDALISM,2015-03-09T10:39:22.181Z,"MALICIOUS MISCHIEF, VANDALISM",156042720,GeoPoint|37.7886989511647|-122.420307355721,d4rqW9oGSB,NORTHERN,15604272028150,NONE,Date|2015-02-20T18:30:00.000Z,2015-03-09T10:39:22.181Z,5
TAYLOR ST / BAY ST,LARCENY/THEFT,2015-03-09T10:39:22.189Z,GRAND THEFT FROM LOCKED AUTO,156041807,GeoPoint|37.8054165242789|-122.415245418291,KHTkyTbPXC,CENTRAL,15604180706244,NONE,Date|2015-02-20T18:10:00.000Z,2015-03-09T10:39:22.189Z,10
CHESTNUT ST / MONTGOMERY ST,VEHICLE THEFT,2015-03-09T10:39:22.197Z,STOLEN AUTOMOBILE,150160392,GeoPoint|37.80476375718|-122.405178220847,fxqRa9HOxv,CENTRAL,15016039207021,NONE,Date|2015-02-20T18:00:00.000Z,2015-03-09T10:39:22.197Z,10
1900 Block of BEACH ST,ROBBERY,2015-03-09T10:39:22.205Z,ROBBERY ON THE STREET WITH A KNIFE,150157913,GeoPoint|37.803964400901|-122.440624097021,oyDgs5TF1c,NORTHERN,15015791303012,NONE,Date|2015-02-20T18:00:00.000Z,2015-03-09T10:39:22.205Z,10
300 Block of 7TH AV,VEHICLE THEFT,2015-03-09T10:39:22.213Z,STOLEN AND RECOVERED VEHICLE,150157747,GeoPoint|37.7819129193277|-122.465352199094,WWkfqdyS7V,RICHMOND,15015774707020,NONE,Date|2015-02-20T17:09:00.000Z,2015-03-09T10:39:22.213Z,10
300 Block of 7TH AV,VEHICLE THEFT,2015-03-09T10:39:22.221Z,STOLEN TRUCK,150157747,GeoPoint|37.7819129193277|-122.465352199094,3AotUlol2o,RICHMOND,15015774707025,NONE,Date|2015-02-20T17:09:00.000Z,2015-03-09T10:39:22.221Z,10
1500 Block of VANNESS AV,LARCENY/THEFT,2015-03-09T10:39:22.229Z,GRAND THEFT FROM LOCKED AUTO,156043217,GeoPoint|37.7899200014841|-122.422062730264,JOKit7oslC,NORTHERN,15604321706244,NONE,Date|2015-02-20T17:00:00.000Z,2015-03-09T10:39:22.229Z,10
0 Block of WILDER ST,VEHICLE THEFT,2015-03-09T10:39:22.236Z,STOLEN AUTOMOBILE,150157935,GeoPoint|37.7340899662655|-122.433410011879,D7t6Db587U,INGLESIDE,15015793507021,NONE,Date|2015-02-20T15:00:00.000Z,2015-03-09T10:39:22.236Z,10
500 Block of JOHNFKENNEDY DR,LARCENY/THEFT,2015-03-09T10:39:22.245Z,GRAND THEFT FROM LOCKED AUTO,156043063,GeoPoint|37.7725405391593|-122.466204667893,oMYmxkbpr6,RICHMOND,15604306306244,NONE,Date|2015-02-20T14:45:00.000Z,2015-03-09T10:39:22.245Z,10
600 Block of CALIFORNIA ST,LARCENY/THEFT,2015-03-09T10:39:22.253Z,GRAND THEFT OF PROPERTY,156041794,GeoPoint|37.792508340252|-122.405025778458,Gxf3pJYCZ4,CENTRAL,15604179406374,NONE,Date|2015-02-20T14:10:00.000Z,2015-03-09T10:39:22.253Z,10
POST ST / POWELL ST,LARCENY/THEFT,2015-03-09T10:39:22.261Z,PETTY THEFT FROM LOCKED AUTO,150156830,GeoPoint|37.7882933915158|-122.408403859899,EFcgRA2Xls,CENTRAL,15015683006243,NONE,Date|2015-02-20T13:15:00.000Z,2015-03-09T10:39:22.261Z,10
0 Block of UNITEDNATIONS PZ,NON-CRIMINAL,2015-03-09T10:39:22.275Z,"AIDED CASE, MENTAL DISTURBED",150156802,GeoPoint|37.7799444052046|-122.414317857881,qW9PqIYXIk,TENDERLOIN,15015680264020,UNFOUNDED,Date|2015-02-20T13:15:00.000Z,2015-03-09T10:39:22.275Z,1
